X,N,b,Y
1.900000,0.000000,1.900000,1.385391
2.000000,0.000000,2.000000,1.217369
2.100000,0.000000,2.100000,1.034110
2.200000,0.000000,2.200000,0.838815
2.300000,0.000000,2.300000,0.634835
2.400000,0.000000,2.400000,0.425618
2.500000,0.000000,2.500000,0.214641
2.600000,0.000000,2.600000,0.005348
2.700000,0.000000,2.700000,-0.198909
2.800000,0.000000,2.800000,-0.394932
2.900000,0.000000,2.900000,-0.579728
3.000000,0.000000,3.000000,-0.750562
3.100000,0.000000,3.100000,-0.905003
3.200000,0.000000,3.200000,-1.040958
3.300000,0.000000,3.300000,-1.156711
3.400000,0.000000,3.400000,-1.250943
3.500000,0.000000,3.500000,-1.322746
3.600000,0.000000,3.600000,-1.371637
3.700000,0.000000,3.700000,-1.397555
3.800000,0.000000,3.800000,-1.400854
3.900000,0.000000,3.900000,-1.382286
4.000000,0.000000,4.000000,-1.342979
4.100000,0.000000,4.100000,-1.284406
4.200000,0.000000,4.200000,-1.208349
4.300000,0.000000,4.300000,-1.116861
4.400000,0.000000,4.400000,-1.012211
4.500000,0.000000,4.500000,-0.896842
4.600000,0.000000,4.600000,-0.773318
4.700000,0.000000,4.700000,-0.644265
4.800000,0.000000,4.800000,-0.512322
4.900000,0.000000,4.900000,-0.380087
5.000000,0.000000,5.000000,-0.250063
5.100000,0.000000,5.100000,-0.124611
5.200000,0.000000,5.200000,-0.005906
5.300000,0.000000,5.300000,0.104104
5.400000,0.000000,5.400000,0.203734
5.500000,0.000000,5.500000,0.291588
5.600000,0.000000,5.600000,0.366582
5.700000,0.000000,5.700000,0.427959
5.800000,0.000000,5.800000,0.475298
5.900000,0.000000,5.900000,0.508513
6.000000,0.000000,6.000000,0.527846
6.100000,0.000000,6.100000,0.533851
6.200000,0.000000,6.200000,0.527381
6.300000,1.000000,0.016815,0.509551
6.400000,1.000000,0.116815,0.481715
6.500000,1.000000,0.216815,0.445424
6.600000,1.000000,0.316815,0.402384
6.700000,1.000000,0.416815,0.354418
6.800000,1.000000,0.516815,0.303414
6.900000,1.000000,0.616815,0.251281
7.000000,1.000000,0.716815,0.199900
7.100000,1.000000,0.816815,0.151081
7.200000,1.000000,0.916815,0.106517
7.300000,1.000000,1.016815,0.067744
7.400000,1.000000,1.116815,0.036100
7.500000,1.000000,1.216815,0.012701
7.600000,1.000000,1.316815,-0.001596
7.700000,1.000000,1.416815,-0.006205
7.800000,1.000000,1.516815,-0.000834
7.900000,1.000000,1.616815,0.014514
8.000000,1.000000,1.716815,0.039538
8.100000,1.000000,1.816815,0.073640
8.200000,1.000000,1.916815,0.115947
8.300000,1.000000,2.016815,0.165323
8.400000,1.000000,2.116815,0.220396
8.500000,1.000000,2.216815,0.279594
8.600000,1.000000,2.316815,0.341174
8.700000,1.000000,2.416815,0.403268
8.800000,1.000000,2.516815,0.463923
8.900000,1.000000,2.616815,0.521150
9.000000,1.000000,2.716815,0.572968
9.100000,1.000000,2.816815,0.617457
9.200000,1.000000,2.916815,0.652801
9.300000,1.000000,3.016815,0.677334
9.400000,1.000000,3.116815,0.689584
9.500000,1.000000,3.216815,0.688312
9.600000,1.000000,3.316815,0.672547
9.700000,1.000000,3.416815,0.641615
9.800000,1.000000,3.516815,0.595162
9.900000,1.000000,3.616815,0.533169
10.000000,1.000000,3.716815,0.455967
10.100000,1.000000,3.816815,0.364233
10.200000,1.000000,3.916815,0.258993
10.300000,1.000000,4.016815,0.141600
10.400000,1.000000,4.116815,0.013721
10.500000,1.000000,4.216815,-0.122688
10.600000,1.000000,4.316815,-0.265423
10.700000,1.000000,4.416815,-0.412063
10.800000,1.000000,4.516815,-0.560019
10.900000,1.000000,4.616815,-0.706577
11.000000,1.000000,4.716815,-0.848956
11.100000,1.000000,4.816815,-0.984360
11.200000,1.000000,4.916815,-1.110030
11.300000,1.000000,5.016815,-1.223304
11.400000,1.000000,5.116815,-1.321668
11.500000,1.000000,5.216815,-1.402814
11.600000,1.000000,5.316815,-1.464683
11.700000,1.000000,5.416815,-1.505515
11.800000,1.000000,5.516815,-1.523887
11.900000,1.000000,5.616815,-1.518750
12.000000,1.000000,5.716815,-1.489455
12.100000,1.000000,5.816815,-1.435773
12.200000,1.000000,5.916815,-1.357908
12.300000,1.000000,6.016815,-1.256504
12.400000,1.000000,6.116815,-1.132637
12.500000,1.000000,6.216815,-0.987807
12.600000,2.000000,0.033629,-0.823915
12.700000,2.000000,0.133629,-0.643237
12.800000,2.000000,0.233629,-0.448387
12.900000,2.000000,0.333629,-0.242275
13.000000,2.000000,0.433629,-0.028059
13.100000,2.000000,0.533629,0.190909
13.200000,2.000000,0.633629,0.411139
13.300000,2.000000,0.733629,0.629065
13.400000,2.000000,0.833629,0.841111
13.500000,2.000000,0.933629,1.043747
13.600000,2.000000,1.033629,1.233561
13.700000,2.000000,1.133629,1.407315
13.800000,2.000000,1.233629,1.562006
13.900000,2.000000,1.333629,1.694923
14.000000,2.000000,1.433629,1.803693
14.100000,2.000000,1.533629,1.886332
14.200000,2.000000,1.633629,1.941274
14.300000,2.000000,1.733629,1.967411
14.400000,2.000000,1.833629,1.964108
14.500000,2.000000,1.933629,1.931221
14.600000,2.000000,2.033629,1.869100
14.700000,2.000000,2.133629,1.778584
14.800000,2.000000,2.233629,1.660992
14.900000,2.000000,2.333629,1.518099
15.000000,2.000000,2.433629,1.352105
15.100000,2.000000,2.533629,1.165600
15.200000,2.000000,2.633629,0.961520
15.300000,2.000000,2.733629,0.743094
15.400000,2.000000,2.833629,0.513788
15.500000,2.000000,2.933629,0.277247
15.600000,2.000000,3.033629,0.037229
15.700000,2.000000,3.133629,-0.202457
15.800000,2.000000,3.233629,-0.438021
15.900000,2.000000,3.333629,-0.665756
16.000000,2.000000,3.433629,-0.882102
16.100000,2.000000,3.533629,-1.083707
16.200000,2.000000,3.633629,-1.267485
16.300000,2.000000,3.733629,-1.430668
16.400000,2.000000,3.833629,-1.570852
16.500000,2.000000,3.933629,-1.686036
16.600000,2.000000,4.033629,-1.774656
16.700000,2.000000,4.133629,-1.835606
16.800000,2.000000,4.233629,-1.868256
16.900000,2.000000,4.333629,-1.872456
17.000000,2.000000,4.433629,-1.848538
17.100000,2.000000,4.533629,-1.797300
17.200000,2.000000,4.633629,-1.719992
17.300000,2.000000,4.733629,-1.618286
17.400000,2.000000,4.833629,-1.494240
17.500000,2.000000,4.933629,-1.350262
17.600000,2.000000,5.033629,-1.189055
17.700000,2.000000,5.133629,-1.013571
17.800000,2.000000,5.233629,-0.826953
17.900000,2.000000,5.333629,-0.632473
18.000000,2.000000,5.433629,-0.433477
18.100000,2.000000,5.533629,-0.233316
18.200000,2.000000,5.633629,-0.035293
18.300000,2.000000,5.733629,0.157401
18.400000,2.000000,5.833629,0.341743
18.500000,2.000000,5.933629,0.514926
18.600000,2.000000,6.033629,0.674412
18.700000,2.000000,6.133629,0.817968
18.800000,2.000000,6.233629,0.943707
18.900000,3.000000,0.050444,1.050108
19.000000,3.000000,0.150444,1.136045
19.100000,3.000000,0.250444,1.200794
19.200000,3.000000,0.350444,1.244039
19.300000,3.000000,0.450444,1.265869
19.400000,3.000000,0.550444,1.266768
19.500000,3.000000,0.650444,1.247590
19.600000,3.000000,0.750444,1.209543
19.700000,3.000000,0.850444,1.154147
19.800000,3.000000,0.950444,1.083204
19.900000,3.000000,1.050444,0.998750
20.000000,3.000000,1.150444,0.903008
